nome_da_variavel;descricao;categorias;classe
fe_pess;fator de expansão da pessoa;;numérica
pessoa;número da pessoa;;fator
sit_fam;situação familiar;"1 - Chefe
2 - Cônjuge
3 - Filho(a)
4 - Parente
5 - Agregado
6 - Empregado Residente
7 – Visitante";fator
idade;idade (anos);;numérica
fxetod;faixa etária (anos);"1 – até 3
2 – 4 a 6
3 – 7 a 10
4 – 11 a 14
5 – 15 a 17
6 – 18 a 22
7 – 23 a 29
8 – 30 a 39
9 – 40 a 49
10 – 50 a 59
11 – 60 e mais ";fator
sexo;sexo;"1 - Masculino
2 – Feminino";fator
estuda;estuda atualmente? ;"1 – Sim
2 – Não";fator
grau_ins;grau de instrução;"0 – não declarou
1 – não alfabetizado/4ª série incompleta
2 – 4ª série completa
3 – 1° grau completo
4 – colegial completo
5 – superior completo";fator
clas_ati;classe de atividade da empresa que trabalha;"0 - Não Declarou
1 – Agrícola
2 - Construção Civil
3 – Indústria
4 – Comércio
5 - Funcionalismo Público
6 - Serviços de Transporte
7 - Empresa de Serviços
8 - Serviços Autônomo
9 – Outros
10 - Não se Aplica ";fator
set_ativ;setor de atividade agregado ;"1 – Indústria
2 – Comércio
3 – Serviços
4 - Outros ";fator
ocupacao;ocupação;"0 - Não Respondeu
1 - Estudante
2 - Prendas Domésticas
3 - Aposentado
4 - Sem Ocupação, Nunca Trabalhou
5 - Desempregado Temporariamente
6 - Em Licença, Afastado
11 - Serv.Não Espec.: Office-boy, Faxineiro, etc
12 - Serv.Semi-Espec.: Zelador, Telef., Motorista
13 - Escriturário
14 - Comércio: Vendedor, Corretor, etc
15 - Chefe de Serv. Espec.
16 - Nível Superior em Escritório
17 - Empregado c/Nível de gerência
18 - Empregado Nível Superior
21 - Operários Sem Espec.
22 - Operários Semi-Espec.
23 - Oper. Espec.de Oficinas:Técn., Artesões, etc
24 - Operário Espec. (fábrica)
25 - Chefe de Operários Espec.
26 - Trabalhadores Rurais
27 - Trabalhador Rural Nível Capataz
31 - Autônomo Serv: Vendedor, Engraxate, etc
32 - Autônomo Serv. Semi-Espec
33 - Autônomo Nível de Operário Espec.
34 - Autônomo Trab. Intelectual, Mental
35 - Autônomo Téc.Altamente Espec.
36 - Autônomo Nível Universitário
41 - Func.Público Serv. Não Espec.
42 - Func.Público Serv. Semi Espec.
43 - Func.Público Escriturário, Aux.Escrit.
44 - Func.Público Nível Superior, Professores
45 - Func.Público Nível Diretor
46 - Func.Público Altos Cargos Públicos
47 - Func.Público Militares
51 - Sócio/Propr de Pequeno Comércio
52 - Sócio/Propr de Firma Pequena Serviços
53 - Sócio/Propr Micro-Empresa Ind./Com.
54 - Sócio/Propr de Firma Grande/Média de Serv.
55 - Sócio/Propr Empresa Média Ind/Com
56 - Sócio/Propr Empresa Grande Ind/Com
57 - Agricultor Arrendatário Terra
58 - Agricultor Proprietário Terra
59 - Grande Fazendeiro";fator
cd_ren_i;código de renda individual;"1 – Não Tem Renda
2 – Não Declarou
3 – Declarou";fator
vl_ren_i;renda individual mensal em salários mínimos;;numérica
fx_ren_i;faixa de renda individual;"0 - Não Declarou
1 - até 1 SM
2 - 1-2 SM
3 - 2-3 SM
4 - 3-4 SM
5 - 4-5 SM
6 - 5-6 SM
7 - 6-7 SM
8 - 7-8 SM
9 - 8-9 SM
10 - 9-10 SM
11 - 10-12 SM
12 - 12-15 SM
13 - 15-20 SM
14 - 20-25 SM
15 - 25-30 SM
16 - 30-40 SM
17 - 40-50 SM
18 - mais de 50 SM ";fator
vren_ind;valor da renda individual ajustado-set/87;;numérica
zonaesc;zona da escola;;fator
szescola;subzona da escola;;fator
szeseq;subzona sequencial da escola;;fator
muniesc;município da escola 1;;fator
zonatra1;zona do primeiro trabalho;;fator
sztrab1;subzona do primeiro trabalho;;fator
szt1seq;subzona sequencial do primeiro trabalho;;fator
munitra1;município do primeiro trabalho;;fator
zonatra2;zona do segundo trabalho;;fator
sztrab2;subzona do segundo trabalho;;fator
szt2seq;subzona sequencial do segundo trabalho;;fator
munitra2;município do segundo trabalho;;fator
vig_pess;Número de Viagem da Pessoa;;numérica
f_via;Identifica Primeiro Registro da Viagem;"0 - Demais registros
1- Primeiro registro da pessoa ";fator
fe_via;fator de expansão de viagem;;numérica
dia_sem;dia da semana;"2 – Segunda-feira
3 – Terça-feira
4 – Quarta-feira
5 – Quinta-feira
6 – Sexta-feira ";fator
zona_o;zona de origem;;fator
szo;subzona de origem;;fator
szoseq;subzona sequencial de origem;;fator
muniorig;município de origem;;fator
zona_d;zona de destino;;fator
szd;subzona de destino;;fator
szdseq;subzona sequencial de destino;;fator
munidest;município de destino;;fator
motivo_o;motivo da viagem na origem;"1 - Trabalho Indústria
2 - Trabalho Comércio
3 - Trabalho Serviços
4 - Escola/Educação
5 - Compras
6 - Negócios
7 - Médico/Dentista/Saúde
8 - Recreação/Visitas
9 – Residência";fator
motivo_d;motivo da viagem no destino;idem a motivo_o;fator
mot_sres;motivo de destino sem residência;"1 - Trabalho Indústria
2 - Trabalho Comércio
3 - Trabalho Serviços
4 - Escola/Educação
5 - Compras
6 - Negócios
7 - Médico/Dentista/Saúde
8 – Recreação/Visitas";fator
modo1;primeiro modo;"1 - Ônibus Diesel
2 - Trólebus
3 - Ônibus Fretado
4 - Escolar
5 - Dirigindo Automóvel
6 - Passageiro de Automóvel
7 - Táxi
8 - Lotação/Perua
9 - Metrô
10 - Trem
11 - Moto
12 - Bicicleta
13 - A Pé
14 - Caminhão
15 - Outros";fator
modo2;segundo modo;idem a o modo1;fator
modo3;terceiro modo;idem a o modo1;fator
h_saida;hora da saída;;numérica
minsaida;minutos da saída;;numérica
anda_o;tempo andando na origem (em minutos);;numérica
h_cheg;hora da chegada;;numérica
mincheg;minutos da chegada;;numérica
anda_d;tempo andando até o destino (em minutos);;numérica
estac;tipo de estacionamento;"1 - Zona Azul/Parquímetro
2 - Estacionamento Particular
3 - Estacionamento Próprio
4 - Estacionamento Patrocionado
5 - Meio Fio
6 - Não Estacionou";fator
duracao;duração da viagem (em minutos);;numérica
modoprin;modo principal;idem a o modo1;fator
tipo_vg;tipo de viagem;"1 - Coletivo
2 – Individual
3 - A pé";fator
id_ordem;número de ordem do registro;;fator
