variable_name;decription;categories;class
setor2;second job sector of activity;same as setor1;factor
vinc2;second job employment relationship;same as vinc1;factor
n_viag;trip number;;numeric
fe_via;trip expansion factor;;numeric
dia_sema;weekday;"2 – Monday
3 – Tueusday
4 – Wednesday
5 – Thursday
6 – Friday";factor
tot_viag;person's total number of trips;;numeric
zona_o;origin zone;from 1 to 460;factor
muni_o;origin municipality;from 1 to 39;factor
co_o_x;x-coordinate of the origin;;numeric
co_o_y;y-coordinate of the origin;;numeric
zona_d;destination zone;from 1 to 460;factor
muni_d;destination municipality;from 1 to 39;factor
co_d_x;x-coordinate of the destination;;numeric
co_d_y;y-coordinate of the destination;;numeric
zona_t1;first transfer zone;from 1 to 460;factor
muni_t1;first transfer municipality;from 1 to 39;factor
co_t1_x;x-coordinate of first transfer;;numeric
co_t1_y;y-coordinate of first transfer;;numeric
zona_t2;second transfer zone;from 1 to 460;factor
muni_t2;second transfer municipality;from 1 to 39;factor
co_t2_x;x-coordinate of second transfer;;numeric
co_t2_y;y-coordinate of second transfer;;numeric
zona_t3;third transfer zone;from 1 to 460;factor
muni_t3;third transfer municipality;from 1 to 39;factor
co_t3_x;x-coordinate of third transfer;;numeric
co_t3_y;y-coordinate of third transfer;;numeric
motivo_o;trip purpose at origin;"1 – work - industry
2 – work - commerce
3 – work - services
4 – education
5 – shopping
6 – health
7 – leisure
8 – residence
9 – looking for a job
10 – personal affairs";factor
motivo_d;trip purpose at destination;same as motivo_o;factor
servir_o;serving a passenger (accompanying someone) at origin;"1 – yes
2 – no";factor
servir_d;serving a passenger (accompanying someone) at destination;"1 – yes
2 – no";factor
modo1;first mode;"01 – bus from São Paulo
02 – bus from other municipalities
03 – metropolitan bus
04 – company bus
05 – school bus
06 – driving car
07 – car passenger 
08 – taxi
09 – van from São Paulo
10 – van from other municipalities
11 – metropolitan van
12 – subway
13 – train
14– motorcycle
15 – bicycle
16 – on foot
17 – other";factor
modo2;second mode;same as modo1;factor
modo3;third mode;same as modo1;factor
modo4;fourth mode;same as modo1;factor
h_saida;departure time – hour;;numeric
min_saida;departure time – minutes;;numeric
anda_o;walking period at origin (in minutes);;numeric
h_cheg;arrival time – hour;;numeric
min_cheg;arrival time – minutes;;numeric
anda_d;walking period at destination (in minutes);;numeric
duracao;trip duration (in minutes);;numeric
modoprin;main mode;same as modo1;factor
tipvg;trip type;"1 – collective
2 – individual
3 – on foot
4 – bicycle";factor
pag_viag;who paid for the trip;"1 – you/your family
2 – employer
3 – exempt
4 – other";factor
tp_esauto;car parking type;"1 – no parking
2 – blue zone/brown zone
3 – sponsored
4 – own
5 – street parking
6 – one-off payment
7 – monthly payment
8 – no answer";factor
vl_est;car parking fee;;numeric
pe_bici;reason for trip on foot or by bicycle;"1 – short distance
2 – expensive transportation
3 – distant stop/station
4 – long wait for transportation
5 – lengthy journey
6 – crowded transportation
7 – physical activity
8 – other reasons";factor
tp_esbici;type of parking bicycle;"1 – free bike rack
2 – paid bike rack
3 – private place
4 – street/public place
5 – other";factor
distancia;straight line distance between origin and destination coordinates (in metres);;numeric
id_ordem;database record order;from 1 to 196698;factor
