variable_name;decription;categories;class
grau_ins;educational level;"1 - not literate
2 – pre-school
3 - incomplete 1st grade
4 - 1st grade complete
5 - incomplete high school
6 - complete high school
7 - incomplete university degree
8 - complete university degree";factor
cd_ativi;activity condition;"1 – working
2 – occasionally working
3 – on leave
4 – not working
5 – retired/pensioner
6 – never worked
7 – housewife
8 – student ";factor
ocup_pri;main occupation;"01 - salaried employee with formal contract
02 - salaried employee without formal contract
03 - public employees
04 - self-employed
05 - employer
06 - freelancer
07 - domestic worker with formal contract
08 - domestic worker without formal contract
09 - family business owner
10 - family worker
11 - not applicable";factor
set_ativ;activity sector;"01 – agriculture
02 – construction 
03 – industry
04 – commerce
05 – freight transportation services
06 – passenger transportation services
07 – credit/financial services
08 – personal services
09 – food services
10 – healthcare services
11 – education services
12 – specialized services
13 – public administration services
14 – others
15 – not applicable ";factor
co_ren_i;individual income code;"1 – has income
2 – no income
3 – did not answer";factor
vl_ren_i;individual monthly income;;numeric
usa_vtra;use of transportation vouchers?;"1 – yes
2 – no";numeric
zonaesc;school zone;from 1 to 389;factor
szescola;school subzone;from 1 to 9;factor
szeseq;sequential number of the school subzone;from 1 to 1400;factor
distresc;school district (São Paulo);from 1 to 96;factor
muniesc;school municipality;from 1 to 39;factor
dtrmuesc;school district + municipality;from 1 to 134;factor
zonatra1;first job zone;from 1 to 389;factor
sztrab1;first job subzone;from 1 to 9;factor
szt1seq;sequential number of first job subzone;from 1 to 1400;factor
distrab1;first job district;from 1 to 96;factor
munitra1;first job municipality;from 1 to 39;factor
dtrmutr1;first job district + municipality;from 1 to 134;factor
trab1_sn;Is the first job the same as the residence?;"1 – yes
2 – no";factor
zonatra2;second job zone;from 1 to 389;factor
sztrab2;second job subzone;from 1 to 9;factor
szt2seq;sequential number of second job subzone;from 1 to 1400;factor
distrab2;second job district;from 1 to 96;factor
muntra2;second job municipality;from 1 to 39;factor
dtrmutr2;second job district + municipality;from 1 to 134;factor
trab2_sn;Is the second job the same as the residence?;"1 – yes
2 – no";factor
id_viage;trip identifier;;numeric
fe_via;trip expansion factor;;numeric
zona_o;origin zone;1 a 389;factor
szo;origin subzone;1 a 9 ;factor
szoseq;sequential number of origin subzone;1 a 1400 ;factor
distrorg;origin district;1 a 96 ;factor
muniorig;origin municipality;1 a 39 ;factor
dtrmuno;origin district + municipality;1 a 134;factor
id_poloo;trip generation hub at the origin;;factor
zona_d;destination zone;1 a 389;factor
szd;destination subzone;1 a 9 ;factor
szdseq;sequential number of destination subzone;1 a 1400 ;factor
distrd;destination district;1 a 96 ;factor
munidest;destination municipality;1 a 39 ;factor
dtrmund;destination district + municipality;1 a 134;factor
id_polod;trip generation hub at the destination;;factor
motivo_o;trip purpose at origin;"1 – work - industry
2 – work - commerce
3 – work - services
4 – school/education
5 – shopping
6 – doctor / dentist / health
7 – recreation / visits
8 – residence
9 – other";factor
motivo_d;trip purpose at destination;same as motivo_o;factor
servir_o;serving a passenger (accompanying someone) at origin;"1 – yes
2 – no";factor
servir_d;serving a passenger (accompanying someone) at destination;"1 – yes
2 – no";factor
modo1;first mode;"1 – bus
2 – company bus
3 – school bus
4 – driving car
5 – car passenger 
6 – taxi
7 – van 
8 – subway
9 – train
10– motorcycle
11 – bicycle
12 – on foot
13 – other";factor
modo2;second mode;same as modo1;factor
modo3;third mode;same as modo1;factor
modo4;fourth mode;same as modo1;factor
pq_viape;reason for trip on foot;"1 - expensive transportation
2 - uncomfortable transportation
3 - distant stop/station
4 - long wait for transportation
5 - crowded transportation
6 - lengthy journey
7 - irregular (transportation) schedule
8 - short distance
9 - other reasons";factor
h_saida;departure time – hour;;numeric
minsaida;departure time – minutes;;numeric
anda_o;walking period at origin (in minutes);;numeric
h_cheg;arrival time – hour;;numeric
mincheg;arrival time – minutes;;numeric
anda_d;walking period at destination (in minutes);;numeric
duracao;trip duration (in minutes);;numeric
modoprin;main mode;same as modo1;factor
tipo_vg;trip type;"1 – collective
2 – individual
3 – on foot";factor
id_ordem;database record order;from 1 to 199647;factor
