nome_da_variavel;descricao;categorias;classe
zonatra1;zona do primeiro trabalho;;fator
subtra1;subzona do primeiro trabalho;;fator
munitra1;município do primeiro trabalho;;fator
zonatra2;zona do segundo trabalho;;fator
subtra2;subzona do segundo trabalho;;fator
munitra2;município do segundo trabalho;;fator
id_viage;identificador do registro de viagem;"0 – Não Tem Viagem
1 – Tem Viagem";fator
fe_via;fator de expansão de viagem com aferição;;numérica
zonao;zona de origem;;fator
subor;subzona de origem;;fator
muniorig;município de origem;;fator
bolsaoor;bolsão de origem;;fator
setoror;setor de origem;;fator
zonad;zona de destino;;fator
subdes;subzona de destino;;fator
munidest;município de destino;;fator
bolsaode;bolsão de destino;;fator
setorde;setor de destino;;fator
motivo_o;motivo da viagem na origem;"1 - Trabalho Indústria
2 - Trabalho Comércio
3 - Trabalho Serviços
4 - Escola/Educação
5 - Compras
6 - Negócios
7 - Médico/Dentista/Saúde
8 - Recreação/Visitas
9 - Servir Passageiro
10 – Residência";fator
motivo_d;motivo da viagem no destino;idem a motivo_o;fator
modo1;primeiro modo;"1 - Ônibus Trólebus
2 - Ônibus Escolar/Empresa
3 - Dirigindo Automóvel
4 - Passageiro de Automóvel
5 - Táxi
6 - Lotação/Perua
7 - Metrô
8 - Trem
9 - Motocicleta
10 - Bicicleta
11 - A Pé
12 – Outros";fator
modo2;segundo modo;idem a o modo1;fator
modo3;terceiro modo;idem a o modo1;fator
modoprin;modo principal;idem a o modo1;fator
tipo_vg;tipo de viagem;"1 - Coletivo
2 – Individual
3 - A pé";fator
hsaida;hora da saída;;numérica
minsaida;minutos da saída;;numérica
anda_o;tempo andando na origem (em minutos);;numérica
h_cheg;hora da chegada;;numérica
mincheg;minutos da chegada;;numérica
anda_d;tempo andando até o destino (em minutos);;numérica
duracao;duração da viagem (em minutos);;numérica
tipoestc;tipo de estacionamento;"1 - Zona Azul/Parquímetro
2 - Estacionamento Avulso
3 - Estacionamento Mensal
4 - Estacionamento Próprio
5 - Meio Fio/Logradouro
6 - Estacionamento Patrocionado
7 - Não Estacionou";fator
custoest;custo do estacionamento;;numérica
pqnaocar;código de não utilização do carro;"1 - Não Disponível
2 - Estacionamento Caro
3 - Difícil de Estacionar
4 - Condução mais Barata
5 - Condução mais Conveniente
6 – Outros";fator
numviag;número da viagem;;fator
ordem;ordem do registro no banco de dados;;fator
