nome_da_variavel;descricao;categorias;classe
muntra2;município do segundo trabalho;1 a 39 ;fator
dtrmutr2;distrito + município do segundo trabalho;1 a 134;fator
trab2_sn;primeiro trabalho é igual à residência? ;"1 – sim
2 – não";fator
id_viage;identifica viagem ;;numérica
fe_via;fator de expansão de viagem;;numérica
zona_o;zona de origem;1 a 389;fator
szo;subzona de origem;1 a 9 ;fator
szoseq;subzona sequencial de origem;1 a 1400 ;fator
distrorg;distrito de origem;1 a 96 ;fator
muniorig;município de origem;1 a 39 ;fator
dtrmuno;distrito + município de origem ;1 a 134;fator
id_poloo;pólo gerador na origem;;fator
zona_d;zona de destino;1 a 389;fator
szd;subzona de destino;1 a 9 ;fator
szdseq;subzona sequencial de destino;1 a 1400 ;fator
distrd;distrito + município de destino;1 a 96 ;fator
munidest;município de destino;1 a 39 ;fator
dtrmund;distrito + município de destino;1 a 134;fator
id_polod;pólo gerador no destino;;fator
motivo_o;motivo da viagem na origem;"1 - Trabalho Indústria
2 - Trabalho Comércio
3 - Trabalho Serviços
4 - Escola/Educação
5 - Compras
6 - Médico/Dentista/Saúde
7 - Recreação/Visitas
8 - Residência
9 - Outros";fator
motivo_d;motivo da viagem no destino;idem a motivo_o;fator
servir_o;servir passageiro na origem  ;"1 – sim
2 – não";fator
servir_d;servir passageiro no destino ;"1 – sim
2 – não";fator
modo1;Modo 1;"1 - Ônibus
2 - Ônibus Fretado
3 - Transporte Escolar
4 - Dirigindo Automóvel
5 - Passageiro de Automóvel
6 - Táxi
7 - Lotação/Perua
8 - Metrô
9 - Trem
10 - Moto
11 - Bicicleta
12 - A Pé
13 - Outros";fator
modo2;Modo 2;idem a o modo1;fator
modo3;Modo 3;idem a o modo1;fator
modo4;Modo 4;idem a o modo1;fator
pq_viape;motivo da viagem a pé ;"1 - condução cara
2 - condução desconfortável
3 - ponto/estação distante
4 - condução demora a passar
5 - condução lotada
6 - viagem demorada
7 - horário irregular (da condução)
8 - pequena distância
9 - outros motivos";fator
h_saida;hora da saída;;numérica
minsaida;minutos da saída;;numérica
anda_o;minutos andando desde a origem;;numérica
h_cheg;hora da chegada;;numérica
mincheg;minutos da chegada;;numérica
anda_d;minutos andando até o destino;;numérica
duracao;duração da viagem (em minutos);;numérica
modoprin;modo principal;idem ao modo1;fator
tipo_vg;tipo de viagem;"1 - Coletivo
2 - Individual
3 - A pé";fator
id_ordem;número de ordem do registro;1 a 199647;fator
