variable_name;decription;categories;class
fx_ren_i;individual monthly income range;"0 - did not answer
1 – until 1 MW
2 – from 1 to 2 MW
3 – from 2 to 3 MW
4 – from 3 to 4 MW
5 – from 4 to 5 MW
6 – from 5 to 6 MW
7 – from 6 to 7 MW
8 – from 7 to 8 MW
9 – from 8 to 9 MW
10 – from 9 to 10 MW
11 – from 10 to 12 MW
12 – from 12 to 15 MW
13 – from 15 to 20 MW
14 – from 20 to 25 MW
15 – from 25 to 30 MW
16 – from 30 to 40 MW
17 – from 40 to 50 MW
18 – more tha 50 MW";factor
vren_ind;adjusted individual income value-sept/87;;numeric
zonaesc;school zone;;factor
szescola;school subzone;;factor
szeseq;sequential number of the school subzone;;factor
muniesc;school municipality;;factor
zonatra1;first job zone;;factor
sztrab1;first job subzone;;factor
szt1seq;sequential number of first job subzone;;factor
munitra1;first job municipality;;factor
zonatra2;second job zone;;factor
sztrab2;second job subzone;;factor
szt2seq;sequential number of second job subzone;;factor
munitra2;second job municipality;;factor
vig_pess;;;numeric
f_via;trip identifier;"0 – additional person records
1 – first person record ";factor
fe_via;trip expansion factor;;numeric
dia_sem;weekday;"2 – Monday
3 – Tueusday
4 – Wednesday
5 – Thursday
6 – Friday";factor
zona_o;origin zone;;factor
szo;origin subzone;;factor
szoseq;sequential number of origin subzone;;factor
muniorig;origin municipality;;factor
zona_d;destination zone;;factor
szd;destination subzone;;factor
szdseq;sequential number of destination subzone;;factor
munidest;destination municipality;;factor
motivo_o;trip purpose at origin;"1 – work - industry
2 – work - commerce
3 – work - services
4 – school/education
5 – shopping
6 – business
7 – doctor / dentist / health
8 – recreation / visits
9 – residence";factor
motivo_d;trip purpose at destination;same as motivo_o;factor
mot_sres;trip purpose at destination without residence;"1 – work - industry
2 – work - commerce
3 – work - services
4 – school/education
5 – shopping
6 – business
7 – doctor / dentist / health
8 – recreation / visits";factor
modo1;first mode;"1 – diesel bus
2 – trolleybus
3 – company bus
4 – school bus
5 – driving car
6 – car passenger 
7 – taxi
8 – van 
9 – subway
10 – train
11– motorcycle
12 – bicycle
13 – on foot
14- truck
15 – other";factor
modo2;second mode;same as modo1;factor
modo3;third mode;same as modo1;factor
h_saida;departure time – hour;;numeric
minsaida;departure time – minutes;;numeric
anda_o;walking period at origin (in minutes);;numeric
h_cheg;arrival time – hour;;numeric
mincheg;arrival time – minutes;;numeric
anda_d;walking period at destination (in minutes);;numeric
estac;car parking type;"1 – “blue zone” / parking meter
2 – private parking
3 – own car parking space
4 – sponsored parking
5 – on street
6 – no parking";factor
duracao;trip duration (in minutes);;numeric
modoprin;main mode;same as modo1;factor
tipo_vg;trip type;"1 – collective
2 – individual
3 – on foot";factor
id_ordem;database record order;;factor
